
2024-04-14 18:41:56,558 - ERROR - Empty DataFrame: No data to process.
2024-04-14 18:42:35,258 - ERROR - Empty DataFrame: No data to process.
2024-04-14 18:42:59,744 - ERROR - Empty DataFrame: No data to process.
2024-04-14 18:43:56,773 - ERROR - Empty DataFrame: No data to process.
2024-04-14 18:45:21,476 - ERROR - Empty DataFrame: No data to process.
2024-04-14 18:50:26,115 - ERROR - Empty DataFrame: No data to process.
2024-04-14 18:50:31,168 - ERROR - Empty DataFrame: No data to process.
2024-04-14 18:52:00,256 - ERROR - Empty DataFrame: No data to process.
2024-04-14 18:53:25,983 - ERROR - Empty DataFrame: No data to process.
2024-04-14 18:56:30,750 - ERROR - Empty DataFrame: No data to process.
2024-04-15 00:10:34,753 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 6343137933.24138, End mean: 4.128448278739534
2024-04-15 00:10:58,952 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 145.26198344585325, End mean: 0.00022413223398092403
2024-04-15 00:11:03,759 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 235216.12903225806, End mean: 16768.709677419356
2024-04-15 00:11:03,799 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 0.5838135531077445, End mean: 0.005984322043625058
2024-04-15 00:11:07,473 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 3.5111249685287476, End mean: 0.04793750005774196
2024-04-15 00:11:15,454 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 26.951969261169435, End mean: 9.999999747378752e-06
2024-04-15 00:11:15,485 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 64.13181825117631, End mean: 1.260909080505371
2024-04-15 00:11:15,510 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 523.6595219203404, End mean: 17.163095213118055
2024-04-15 00:11:16,719 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 347.6137329931973, End mean: 11.06755104843451
2024-04-15 00:11:17,592 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 3295.141413840927, End mean: 4.539915988425247
2024-04-15 00:11:28,532 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 109.37200042724609, End mean: 1.2502459967136383
2024-04-15 00:11:28,996 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 663.6923076923077, End mean: 0.40903845973885977
